,name,datetime,humidity,precip,snow,windspeed,cloudcover,uvindex,sunrise,sunset,conditions,description,icon
0,"Boston, MA, United States",2023-09-09,82.8,3.453,0,20.4,90.4,5,2023-09-09T06:17:34,2023-09-09T19:04:58,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain
1,"Boston, MA, United States",2023-09-10,90.1,17.4,0,11.2,89.2,3,2023-09-10T06:18:37,2023-09-10T19:03:13,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain
2,"Boston, MA, United States",2023-09-11,90.6,10.5,0,13.0,78.2,4,2023-09-11T06:19:41,2023-09-11T19:01:28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
3,"Boston, MA, United States",2023-09-12,90.9,0.0,0,14.8,67.7,4,2023-09-12T06:20:44,2023-09-12T18:59:43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
4,"Boston, MA, United States",2023-09-13,90.4,2.1,0,20.2,84.3,1,2023-09-13T06:21:47,2023-09-13T18:57:57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
5,"Boston, MA, United States",2023-09-14,77.5,1.3,0,21.6,51.2,6,2023-09-14T06:22:50,2023-09-14T18:56:11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain
6,"Boston, MA, United States",2023-09-15,67.8,0.9,0,20.9,32.7,4,2023-09-15T06:23:54,2023-09-15T18:54:25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
7,"Boston, MA, United States",2023-09-16,67.5,1.8,0,24.8,46.8,6,2023-09-16T06:24:57,2023-09-16T18:52:39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
8,"New York, NY, United States",2023-09-09,82.0,0.034,0,10.7,73.4,9,2023-09-09T06:30:36,2023-09-09T19:15:35,"Rain, Partially cloudy",Partly cloudy throughout the day with strong storms possible.,rain
9,"New York, NY, United States",2023-09-10,82.0,14.9,0,11.2,81.4,3,2023-09-10T06:31:34,2023-09-10T19:13:55,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain
10,"New York, NY, United States",2023-09-11,79.2,7.5,0,13.0,65.0,5,2023-09-11T06:32:33,2023-09-11T19:12:15,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain
11,"New York, NY, United States",2023-09-12,76.8,0.0,0,14.8,55.5,6,2023-09-12T06:33:31,2023-09-12T19:10:34,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
12,"New York, NY, United States",2023-09-13,80.3,2.8,0,18.7,81.9,4,2023-09-13T06:34:30,2023-09-13T19:08:53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
13,"New York, NY, United States",2023-09-14,64.3,0.6,0,20.2,34.3,7,2023-09-14T06:35:28,2023-09-14T19:07:12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain
14,"New York, NY, United States",2023-09-15,58.1,0.6,0,20.5,20.2,6,2023-09-15T06:36:27,2023-09-15T19:05:31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15,"New York, NY, United States",2023-09-16,58.6,0.9,0,21.2,31.8,7,2023-09-16T06:37:25,2023-09-16T19:03:50,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16,"Chicago, IL, United States",2023-09-09,67.5,0.0,0,19.8,29.5,4,2023-09-09T06:24:17,2023-09-09T19:10:51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17,"Chicago, IL, United States",2023-09-10,69.4,0.3,0,14.8,30.0,7,2023-09-10T06:25:18,2023-09-10T19:09:07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18,"Chicago, IL, United States",2023-09-11,83.2,13.3,0,13.0,93.6,2,2023-09-11T06:26:20,2023-09-11T19:07:24,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain
19,"Chicago, IL, United States",2023-09-12,83.2,9.6,0,22.3,58.8,6,2023-09-12T06:27:22,2023-09-12T19:05:40,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
20,"Chicago, IL, United States",2023-09-13,69.4,0.6,0,21.6,24.8,6,2023-09-13T06:28:24,2023-09-13T19:03:55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21,"Chicago, IL, United States",2023-09-14,63.4,0.0,0,14.8,13.7,6,2023-09-14T06:29:26,2023-09-14T19:02:11,Clear,Clear conditions throughout the day.,clear-day
22,"Chicago, IL, United States",2023-09-15,63.4,0.0,0,14.4,42.3,4,2023-09-15T06:30:28,2023-09-15T19:00:26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23,"Chicago, IL, United States",2023-09-16,69.4,0.0,0,15.5,55.8,1,2023-09-16T06:31:30,2023-09-16T18:58:42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24,"Orlando, FL, United States",2023-09-09,75.3,0.0,0,17.2,19.6,9,2023-09-09T07:07:30,2023-09-09T19:37:54,Clear,Clear conditions throughout the day.,clear-day
25,"Orlando, FL, United States",2023-09-10,78.1,9.4,0,13.0,16.5,8,2023-09-10T07:07:59,2023-09-10T19:36:43,Clear,Clear conditions throughout the day with storms possible.,clear-day
